stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.16700] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.16705] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16710] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.16715] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16721] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.16726] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16731] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16737] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16743] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16748] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16754] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.16758] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16762] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.16766] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16771] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.16775] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16779] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.16783] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16787] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.16791] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16795] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.16799] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16803] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.16807] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16812] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16816] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16820] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16824] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16828] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.16832] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16836] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.16840] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16844] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.16848] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16852] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.16856] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16860] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.16864] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16869] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.16873] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16878] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.16882] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16886] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16890] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16894] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.16898] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16902] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.16906] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16911] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.16914] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16919] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.16923] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16928] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.16932] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16937] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.16941] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.16945] Score is : 713
